:START_ID(Customer),:END_ID(Film),rentalDate,:TYPE
130,80,2005-05-24 22:53:30.000,WATCHED
459,333,2005-05-24 22:54:33.000,WATCHED
408,373,2005-05-24 23:03:39.000,WATCHED
333,535,2005-05-24 23:04:41.000,WATCHED
222,450,2005-05-24 23:05:21.000,WATCHED
549,613,2005-05-24 23:08:07.000,WATCHED
269,870,2005-05-24 23:11:53.000,WATCHED
239,510,2005-05-24 23:31:46.000,WATCHED
126,565,2005-05-25 00:00:40.000,WATCHED
399,396,2005-05-25 00:02:21.000,WATCHED
142,971,2005-05-25 00:09:02.000,WATCHED
261,347,2005-05-25 00:19:27.000,WATCHED
334,499,2005-05-25 00:22:55.000,WATCHED
446,593,2005-05-25 00:31:15.000,WATCHED
319,670,2005-05-25 00:39:22.000,WATCHED
316,86,2005-05-25 00:43:11.000,WATCHED
575,181,2005-05-25 01:06:36.000,WATCHED
19,741,2005-05-25 01:10:47.000,WATCHED
456,422,2005-05-25 01:17:24.000,WATCHED
185,770,2005-05-25 01:48:41.000,WATCHED
388,31,2005-05-25 01:59:46.000,WATCHED
509,159,2005-05-25 02:19:23.000,WATCHED
438,971,2005-05-25 02:40:21.000,WATCHED
350,721,2005-05-25 02:53:02.000,WATCHED
37,863,2005-05-25 03:21:20.000,WATCHED
371,953,2005-05-25 03:36:50.000,WATCHED
301,271,2005-05-25 03:41:50.000,WATCHED
232,887,2005-05-25 03:42:37.000,WATCHED
44,132,2005-05-25 03:47:12.000,WATCHED
430,819,2005-05-25 04:01:32.000,WATCHED
369,979,2005-05-25 04:05:17.000,WATCHED
230,839,2005-05-25 04:06:21.000,WATCHED
272,367,2005-05-25 04:18:51.000,WATCHED
597,573,2005-05-25 04:19:28.000,WATCHED
484,284,2005-05-25 04:24:36.000,WATCHED
88,288,2005-05-25 04:36:26.000,WATCHED
535,89,2005-05-25 04:44:31.000,WATCHED
302,557,2005-05-25 04:47:44.000,WATCHED
207,976,2005-05-25 04:51:46.000,WATCHED
413,579,2005-05-25 05:09:04.000,WATCHED
174,382,2005-05-25 05:12:29.000,WATCHED
523,84,2005-05-25 05:24:58.000,WATCHED
532,564,2005-05-25 05:39:25.000,WATCHED
207,681,2005-05-25 05:53:23.000,WATCHED
436,403,2005-05-25 05:59:39.000,WATCHED
7,730,2005-05-25 06:04:08.000,WATCHED
35,478,2005-05-25 06:05:20.000,WATCHED
282,387,2005-05-25 06:20:46.000,WATCHED
498,650,2005-05-25 06:39:35.000,WATCHED
18,432,2005-05-25 06:44:53.000,WATCHED
256,278,2005-05-25 06:49:10.000,WATCHED
507,875,2005-05-25 06:51:29.000,WATCHED
569,277,2005-05-25 07:19:16.000,WATCHED
291,611,2005-05-25 07:23:25.000,WATCHED
131,252,2005-05-25 08:26:13.000,WATCHED
511,298,2005-05-25 08:28:11.000,WATCHED
